what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1365794568231
started,bundle,org.eclipse.mylyn.bugzilla.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.core",1365794568248
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.ui",1365794568255
started,bundle,org.eclipse.mylyn.commons.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.core",1365794568255
started,bundle,org.eclipse.mylyn.commons.net,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.net",1365794568255
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.core",1365794568266
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.feed",1365794568279
started,bundle,org.eclipse.mylyn.commons.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.ui",1365794568289
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.workbench",1365794568307
started,bundle,org.eclipse.mylyn.context.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.core",1365794568307
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1365794568319
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1365794568325
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1365794568347
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1365794568367
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.4.v201106210700,"org.eclipse.wst.common.emfworkbench.integration",1365794568368
started,bundle,org.eclipse.wst.common.frameworks,1.2.1.v201107271600,"org.eclipse.wst.common.frameworks",1365794568388
started,bundle,org.eclipse.wst.server.core,1.1.208.v20111005_1734,"org.eclipse.wst.server.core",1365794568434
started,bundle,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui",1365794568462
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1365794568521
started,bundle,org.springframework.ide.eclipse.beans.ui,2.9.2.201205070117-RELEASE,"org.springframework.ide.eclipse.beans.ui",1365794568628
started,bundle,org.springframework.ide.eclipse.core,2.9.2.201205070117-RELEASE,"org.springframework.ide.eclipse.core",1365794568650
started,bundle,org.springframework.ide.eclipse.uaa,2.9.2.201205070117-RELEASE,"org.springframework.ide.eclipse.uaa",1365794568665
started,bundle,com.collabnet.subversion.merge,3.0.12,"com.collabnet.subversion.merge",1365794568665
started,bundle,org.tigris.subversion.clientadapter,1.8.3,"org.tigris.subversion.clientadapter",1365794568665
started,bundle,org.tigris.subversion.subclipse.core,1.8.16,"org.tigris.subversion.subclipse.core",1365794568665
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1365794568673
started,bundle,org.tigris.subversion.subclipse.ui,1.8.18,"org.tigris.subversion.subclipse.ui",1365794568684
started,bundle,com.python.pydev.analysis,2.1.0.2011052613,"com.python.pydev.analysis",1365794568741
started,bundle,oracle.eclipse.tools.common,3.2.3.201107052022,"oracle.eclipse.tools.common",1365794568741
started,bundle,oracle.eclipse.tools.common.services.ui,3.2.3.201107052022,"oracle.eclipse.tools.common.services.ui",1365794568785
started,bundle,oracle.eclipse.tools.common.ui,3.2.3.201107052022,"oracle.eclipse.tools.common.ui",1365794568823
started,bundle,oracle.eclipse.tools.common.upgrade,3.2.3.201107052022,"oracle.eclipse.tools.common.upgrade",1365794568867
started,bundle,oracle.eclipse.tools.envcheck,3.2.3.201107052022,"oracle.eclipse.tools.envcheck",1365794569124
started,bundle,oracle.eclipse.tools.glassfish,3.2.3.201106201340,"oracle.eclipse.tools.glassfish",1365794569124
started,bundle,oracle.eclipse.tools.orm,3.2.3.201107052022,"oracle.eclipse.tools.orm",1365794569124
started,bundle,oracle.eclipse.tools.weblogic,3.2.3.201107052022,"oracle.eclipse.tools.weblogic",1365794569124
started,bundle,oracle.eclipse.tools.weblogic.scripting.ui,3.2.3.201107052022,"oracle.eclipse.tools.weblogic.scripting.ui",1365794569181
started,bundle,oracle.eclipse.tools.weblogic.ui,3.2.3.201107052022,"oracle.eclipse.tools.weblogic.ui",1365794569181
started,bundle,oracle.eclipse.tools.webtier.common.services,3.2.3.201107052022,"oracle.eclipse.tools.webtier.common.services",1365794569191
started,bundle,oracle.eclipse.tools.webtier.ui,3.2.3.201107052022,"oracle.eclipse.tools.webtier.ui",1365794569203
started,bundle,oracle.eclipse.tools.xmlbeans,3.2.3.201107052022,"oracle.eclipse.tools.xmlbeans",1365794569203
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824-p001,"org.eclipse.core.jobs",1365794569218
started,bundle,org.eclipse.sapphire.modeling,0.2.3.201106221307,"org.eclipse.sapphire.modeling",1365794569228
started,bundle,org.python.pydev,2.1.0.2011052613,"org.python.pydev",1365794569229
started,bundle,org.python.pydev.core,2.1.0.2011052613,"org.python.pydev.core",1365794569237
os,sysinfo,,,"win32",1365794569245
arch,sysinfo,,,"x86",1365794569245
ws,sysinfo,,,"win32",1365794569245
locale,sysinfo,,,"es_PE",1365794569245
processors,sysinfo,,,"2",1365794569245
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1365794569245
java.runtime.version,sysinfo,,,"1.6.0_43-b01",1365794569245
java.specification.name,sysinfo,,,"Java Platform API Specification",1365794569245
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1365794569245
java.specification.version,sysinfo,,,"1.6",1365794569245
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1365794569245
java.version,sysinfo,,,"1.6.0_43",1365794569245
java.vm.info,sysinfo,,,"mixed mode",1365794569245
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1365794569245
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1365794569245
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1365794569245
java.vm.specification.version,sysinfo,,,"1.0",1365794569245
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1365794569245
java.vm.version,sysinfo,,,"20.14-b01",1365794569245
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1365794569744
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1365794569756
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1365794569899
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1365794570199
started,bundle,org.eclipse.jst.jsp.core,1.2.308.v201109202150,"org.eclipse.jst.jsp.core",1365794570253
started,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1365794570382
started,bundle,oracle.eclipse.tools.common.services,3.2.3.201107052022,"oracle.eclipse.tools.common.services",1365794570409
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365794572787
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365794589506
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1365794592068
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1365794592177
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1365794592199
started,bundle,org.eclipse.jst.jsf.common.ui,1.2.0.v20100329,"org.eclipse.jst.jsf.common.ui",1365794592209
started,bundle,org.eclipse.jst.pagedesigner,1.3.2.v201101211220-p001,"org.eclipse.jst.pagedesigner",1365794592233
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1365794592235
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1365794599365
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1365794599394
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365794605513
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365794664526
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1365794664544
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365794668047
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365794717030
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365794719676
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365794746531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1365794746552
